REF_DATE,GEO,DGUID,Structural type of dwelling,Coordinate,Total - Household,Number of persons in private households,Average household size
2021,"Campbellton (Quebec part) (CA), Que.",2021S050624330,Movable dwelling,20.9,0,5,0.0
2021,"Edmundston (CA), N.B.",2021S0504335,Total - Structural type of dwelling,21.1,10265,20935,2.0
2021,"Edmundston (CA), N.B.",2021S0504335,Single-detached house,21.2,6805,15455,2.3
2021,"Edmundston (CA), N.B.",2021S0504335,Semi-detached house,21.3,345,660,1.9
2021,"Edmundston (CA), N.B.",2021S0504335,Row house,21.4,260,425,1.6
2021,"Edmundston (CA), N.B.",2021S0504335,Apartment or flat in a duplex,21.5,615,1100,1.8
2021,"Edmundston (CA), N.B.",2021S0504335,Apartment in a building that has fewer than five storeys,21.6,1725,2400,1.4
2021,"Edmundston (CA), N.B.",2021S0504335,Apartment in a building that has five or more storeys,21.7,125,165,1.3
2021,"Edmundston (CA), N.B.",2021S0504335,Other single-attached house,21.8,40,75,2.0
2021,"Edmundston (CA), N.B.",2021S0504335,Movable dwelling,21.9,350,650,1.8
2021,"Fredericton (CMA), N.B.",2021S0503320,Total - Structural type of dwelling,22.1,46355,107165,2.3
2021,"Fredericton (CMA), N.B.",2021S0503320,Single-detached house,22.2,27300,70280,2.6
2021,"Fredericton (CMA), N.B.",2021S0503320,Semi-detached house,22.3,920,2255,2.5
2021,"Fredericton (CMA), N.B.",2021S0503320,Row house,22.4,1285,2885,2.2
2021,"Fredericton (CMA), N.B.",2021S0503320,Apartment or flat in a duplex,22.5,2775,6350,2.3
2021,"Fredericton (CMA), N.B.",2021S0503320,Apartment in a building that has fewer than five storeys,22.6,10115,17465,1.7
2021,"Fredericton (CMA), N.B.",2021S0503320,Apartment in a building that has five or more storeys,22.7,420,675,1.6
2021,"Fredericton (CMA), N.B.",2021S0503320,Other single-attached house,22.8,190,385,2.0
2021,"Fredericton (CMA), N.B.",2021S0503320,Movable dwelling,22.9,3345,6870,2.1
2021,"Miramichi (CA), N.B.",2021S0504329,Total - Structural type of dwelling,23.1,12300,27040,2.2
2021,"Miramichi (CA), N.B.",2021S0504329,Single-detached house,23.2,9315,21900,2.4
2021,"Miramichi (CA), N.B.",2021S0504329,Semi-detached house,23.3,410,870,2.1
2021,"Miramichi (CA), N.B.",2021S0504329,Row house,23.4,50,70,1.3
2021,"Miramichi (CA), N.B.",2021S0504329,Apartment or flat in a duplex,23.5,190,395,2.1
2021,"Miramichi (CA), N.B.",2021S0504329,Apartment in a building that has fewer than five storeys,23.6,1460,2115,1.5
2021,"Miramichi (CA), N.B.",2021S0504329,Apartment in a building that has five or more storeys,23.7,0,0,0.0
2021,"Miramichi (CA), N.B.",2021S0504329,Other single-attached house,23.8,20,35,1.9
2021,"Miramichi (CA), N.B.",2021S0504329,Movable dwelling,23.9,850,1650,2.0
2021,"Moncton (CMA), N.B.",2021S0503305,Total - Structural type of dwelling,24.1,67175,154245,2.3
2021,"Moncton (CMA), N.B.",2021S0503305,Single-detached house,24.2,36020,93335,2.6
2021,"Moncton (CMA), N.B.",2021S0503305,Semi-detached house,24.3,6880,17240,2.5
2021,"Moncton (CMA), N.B.",2021S0503305,Row house,24.4,2245,4525,2.0
2021,"Moncton (CMA), N.B.",2021S0503305,Apartment or flat in a duplex,24.5,3280,7040,2.1
2021,"Moncton (CMA), N.B.",2021S0503305,Apartment in a building that has fewer than five storeys,24.6,14640,24655,1.7
2021,"Moncton (CMA), N.B.",2021S0503305,Apartment in a building that has five or more storeys,24.7,1300,1760,1.4
2021,"Moncton (CMA), N.B.",2021S0503305,Other single-attached house,24.8,145,290,2.0
2021,"Moncton (CMA), N.B.",2021S0503305,Movable dwelling,24.9,2670,5405,2.0
2021,"Saint John (CMA), N.B.",2021S0503310,Total - Structural type of dwelling,25.1,55865,128385,2.3
2021,"Saint John (CMA), N.B.",2021S0503310,Single-detached house,25.2,33095,84590,2.6
2021,"Saint John (CMA), N.B.",2021S0503310,Semi-detached house,25.3,1265,2820,2.2
2021,"Saint John (CMA), N.B.",2021S0503310,Row house,25.4,2325,5025,2.2
2021,"Saint John (CMA), N.B.",2021S0503310,Apartment or flat in a duplex,25.5,3855,9030,2.3
2021,"Saint John (CMA), N.B.",2021S0503310,Apartment in a building that has fewer than five storeys,25.6,11265,19895,1.8
2021,"Saint John (CMA), N.B.",2021S0503310,Apartment in a building that has five or more storeys,25.7,2160,3115,1.4
2021,"Saint John (CMA), N.B.",2021S0503310,Other single-attached house,25.8,135,295,2.2
2021,"Saint John (CMA), N.B.",2021S0503310,Movable dwelling,25.9,1765,3620,2.1
2021,Quebec,2021A000224,Total - Structural type of dwelling,26.1,3749035,8308480,2.2
2021,Quebec,2021A000224,Single-detached house,26.2,1671920,4300105,2.6
2021,Quebec,2021A000224,Semi-detached house,26.3,199080,504475,2.5
2021,Quebec,2021A000224,Row house,26.4,98625,241660,2.5
2021,Quebec,2021A000224,Apartment or flat in a duplex,26.5,271245,575660,2.1
2021,Quebec,2021A000224,Apartment in a building that has fewer than five storeys,26.6,1242910,2243615,1.8
2021,Quebec,2021A000224,Apartment in a building that has five or more storeys,26.7,225745,365520,1.6
